Nudata,BioCatch,Neuro-id,Accertify,BehavioSec,Darwinium,Sardine,ThreatMark,Transmit Security,Iovation,pingOne,ClarityJS
FocusEvent.target,ClipboardEvent.clipboardData,ClipboardEvent.get target,ClipboardEvent.target,ClipboardEvent.target,KeyboardEvent.key,ClipboardEvent.target,ClipboardEvent.isTrusted,ClipboardEvent.cancelable,Event.button,ClipboardEvent.srcElement,ClipboardEvent.composed
FocusEvent.which,ClipboardEvent.target,ClipboardEvent.target,Event.target,Event.target,KeyboardEvent.location,Event.target,ClipboardEvent.target,ClipboardEvent.clipboardData,Event.changedTouches,ClipboardEvent.timeStamp,ClipboardEvent.composedPath
KeyboardEvent.key,ClipboardEvent.type,Event.get target,KeyboardEvent.altKey,FocusEvent.composed,KeyboardEvent.which,Event.type,Event.target,ClipboardEvent.composed,Event.code,ClipboardEvent.type,ClipboardEvent.timeStamp
KeyboardEvent.keyCode,Event.isTrusted,Event.target,KeyboardEvent.ctrlKey,FocusEvent.composedPath,MouseEvent.button,FocusEvent.target,Event.timeStamp,ClipboardEvent.isTrusted,Event.isTrusted,Event.timeStamp,Event.composed
KeyboardEvent.location,Event.target,FocusEvent.get target,KeyboardEvent.isComposing,FocusEvent.target,MouseEvent.clientX,FocusEvent.type,FocusEvent.target,ClipboardEvent.target,Event.keyCode,Event.type,Event.target
KeyboardEvent.target,Event.type,FocusEvent.target,KeyboardEvent.key,KeyboardEvent.altKey,MouseEvent.clientY,InputEvent.inputType,InputEvent.inputType,Event.cancelable,Event.pointerType,FocusEvent.relatedTarget,Event.timeStamp
KeyboardEvent.which,FocusEvent.isTrusted,InputEvent.get target,KeyboardEvent.metaKey,KeyboardEvent.composed,MouseEvent.offsetX,InputEvent.target,InputEvent.target,Event.composed,Event.screenX,FocusEvent.srcElement,InputEvent.composed
MouseEvent.button,FocusEvent.target,InputEvent.target,KeyboardEvent.repeat,KeyboardEvent.composedPath,MouseEvent.offsetY,KeyboardEvent.altKey,KeyboardEvent.altKey,Event.isTrusted,Event.type,FocusEvent.timeStamp,InputEvent.composedPath
MouseEvent.pageX,FocusEvent.timeStamp,KeyboardEvent.altKey,KeyboardEvent.shiftKey,KeyboardEvent.constructor,MouseEvent.relatedTarget,KeyboardEvent.ctrlKey,KeyboardEvent.code,FocusEvent.target,KeyboardEvent.button,FocusEvent.type,InputEvent.timeStamp
MouseEvent.pageY,FocusEvent.type,KeyboardEvent.ctrlKey,KeyboardEvent.target,KeyboardEvent.ctrlKey,MouseEvent.toElement,KeyboardEvent.key,KeyboardEvent.ctrlKey,InputEvent.cancelable,KeyboardEvent.changedTouches,KeyboardEvent.key,InputEvent.view
MouseEvent.target,InputEvent.constructor,KeyboardEvent.get target,MouseEvent.clientX,KeyboardEvent.key,MouseEvent.type,KeyboardEvent.metaKey,KeyboardEvent.isTrusted,InputEvent.composed,KeyboardEvent.code,KeyboardEvent.keyCode,MouseEvent.composed
MouseEvent.which,InputEvent.isTrusted,KeyboardEvent.get type,MouseEvent.clientY,KeyboardEvent.keyCode,PointerEvent.pointerType,KeyboardEvent.shiftKey,KeyboardEvent.key,InputEvent.inputType,KeyboardEvent.isTrusted,KeyboardEvent.srcElement,MouseEvent.composedPath
PointerEvent.pageX,InputEvent.target,KeyboardEvent.isComposing,PointerEvent.button,KeyboardEvent.location,Touch.clientX,KeyboardEvent.target,KeyboardEvent.keyCode,InputEvent.isTrusted,KeyboardEvent.keyCode,KeyboardEvent.timeStamp,MouseEvent.pageX
